                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.85627,                0.47129,                 1.4282,                0.97312,                 0.9898,                0.99025,                0.76751,                0.90234,                0.37181,                 1.5509,              0.0002972,              0.0002972,              0.0002972
                     89,                0.84837,                0.45608,                 1.4206,                0.97275,                 0.9898,                0.99094,                0.75486,                0.91033,                0.37409,                 1.5768,              0.0002774,              0.0002774,              0.0002774
                     90,                0.86261,                0.47022,                 1.4299,                0.97012,                0.99391,                0.98944,                0.76508,                0.88843,                0.37471,                 1.5301,              0.0002576,              0.0002576,              0.0002576
                     91,                0.75178,                0.33988,                 1.3446,                0.96895,                 0.9898,                0.97837,                0.74609,                0.92008,                 0.3948,                 1.5866,              0.0002378,              0.0002378,              0.0002378
                     92,                0.74929,                 0.3337,                 1.3421,                0.96481,                0.98469,                0.98826,                 0.7597,                0.88107,                0.37649,                 1.5131,               0.000218,               0.000218,               0.000218
                     93,                0.74721,                0.32879,                 1.3361,                0.97486,                0.98938,                0.98992,                0.76564,                0.90987,                0.37267,                 1.5546,              0.0001982,              0.0001982,              0.0001982
                     94,                0.73179,                0.32515,                 1.3204,                0.97296,                 0.9898,                0.99054,                0.76634,                 0.8969,                0.37677,                 1.5391,              0.0001784,              0.0001784,              0.0001784
                     95,                0.74459,                0.32864,                 1.3404,                0.97345,                0.98469,                0.99233,                0.77228,                0.88804,                0.36984,                 1.5191,              0.0001586,              0.0001586,              0.0001586
                     96,                0.73003,                0.32391,                 1.3215,                0.97472,                 0.9898,                 0.9916,                0.76521,                0.91001,                0.37485,                 1.5622,              0.0001388,              0.0001388,              0.0001388
                     97,                0.72522,                0.32567,                 1.3201,                0.97313,                0.98469,                0.98992,                0.77082,                0.89495,                0.37387,                 1.5455,               0.000119,               0.000119,               0.000119
                     98,                0.72493,                0.31842,                  1.328,                0.97486,                 0.9893,                  0.991,                0.76785,                0.89917,                0.37491,                 1.5526,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.72329,                0.31976,                 1.3193,                0.97409,                0.98469,                0.99071,                0.76687,                0.89598,                0.37243,                 1.5546,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.72161,                0.31745,                 1.3166,                0.97472,                0.98374,                 0.9902,                0.76723,                0.89688,                0.37259,                  1.549,               5.96e-05,               5.96e-05,               5.96e-05
